product_id,customer_id,customer_region,customer_evaluate,content,like_count,rating,score,created_at,rating_1_stars,rating_2_stars,rating_3_stars,rating_4_stars,rating_5_stars
205750556,18847564,,Cực kì hài lòng,hàng chính hãng chất luọng,0,5,38.88888889,1693199754,0,1,0,2,30
205750556,26906450,,Cực kì hài lòng,"Sp đẹp ,gói cẩn thận giao nhanh",0,5,8.33333333,1695338551,0,1,0,2,30
205750556,18847564,,Hài lòng,chất lượng chính hãng,0,4,33.33333333,1693199375,0,1,0,2,30
205750556,13596451,,Không hài lòng,Tệ quá đi hiện hoài phiền phức,0,2,2.00396825,1695106137,0,1,0,2,30
205750556,1822573,,Cực kì hài lòng,,1,5,0.72281959,1693411226,0,1,0,2,30
205750556,26148078,,Hài lòng,Đang trong thời gian thử. Cho 4*,0,4,27.77777778,1694418996,0,1,0,2,30
205750556,29238671,,Cực kì hài lòng,Tốt,0,5,27.77777778,1695532905,0,1,0,2,30
205750556,10242181,,Cực kì hài lòng,,0,5,27.77777778,1695657641,0,1,0,2,30
205750556,29453608,,Cực kì hài lòng,,0,5,27.77777778,1695632280,0,1,0,2,30
205750556,12562721,,Cực kì hài lòng,,0,5,27.77777778,1695462452,0,1,0,2,30
247925719,13934567,,Cực kì hài lòng,Tốt đi nhanh giá cũng hợp lý,3,5,0.18793546,1690688447,0,0,0,1,17
247925719,6207593,,Cực kì hài lòng,"Rất hài lòng luôn, để sử dụng một thời gian nếu tốt sẽ đánh giá tiếp",0,5,33.33333333,1692870745,0,0,0,1,17
247925719,15900223,,Cực kì hài lòng,"Hàng nhận ok, đang xài ổn định, hi vọng xài lâu bền, sẽ ủng hộ thêm",0,5,27.77777778,1691462304,0,0,0,1,17
247925719,21817234,,Cực kì hài lòng,"Giao hàng nhanh, đonngs gói cẩn thận, đẹp và chất lượng",0,5,27.77777778,1694398585,0,0,0,1,17
247925719,17372679,,Cực kì hài lòng,Hàng đúng Viêt Nam sane xuất rất tuyệt.,0,5,27.77777778,1693700525,0,0,0,1,17
247925719,8761832,,Hài lòng,"Sp dùng ok, mỗi là ko có sặc",0,4,27.77777778,1690964973,0,0,0,1,17
247925719,11037595,,Cực kì hài lòng,,0,5,27.77777778,1694617818,0,0,0,1,17
247925719,23301111,,Cực kì hài lòng,,0,5,27.77777778,1693837816,0,0,0,1,17
247925719,8424401,,Cực kì hài lòng,,0,5,27.77777778,1693550499,0,0,0,1,17
247925719,508156,,Cực kì hài lòng,,0,5,27.77777778,1693283178,0,0,0,1,17
247730281,16891804,,Cực kì hài lòng,,0,5,44.44444444,1691845953,0,0,0,0,20
247730281,8025057,,Cực kì hài lòng,"Hàng đẹp,chuẩn,giao hàng nhanh,kích hoạt bảo hành cũng nhanh chóng",0,5,33.33333333,1692245839,0,0,0,0,20
247730281,412157,,Cực kì hài lòng,"Nhìn đẹp, hộp nguyên seal. Samsung keo quá méo có củ sạc và ốp phải đi mua tốn cũng kha khá",0,5,27.77777778,1683867656,0,0,0,0,20
247730281,10643454,,Cực kì hài lòng,"Hàng tiki rất yên tâm, giao nhanh. Hài lòng",0,5,33.33333333,1685452809,0,0,0,0,20
247730281,9724384,,Cực kì hài lòng,sản phẩm chất lượng tốt.  giao hàng quá nhanh chóng.,0,5,1.08932462,1684134015,0,0,0,0,20
247730281,2059698,,Cực kì hài lòng,"Giao nhanh, cẩn thận",0,5,33.33333333,1682417987,0,0,0,0,20
247730281,5173586,,Cực kì hài lòng,Ngon. Mượt. Chụp đẹp. Có điều hơi to và dày,0,5,27.77777778,1684077549,0,0,0,0,20
247730281,29423145,,Cực kì hài lòng,,0,5,27.77777778,1694595983,0,0,0,0,20
247730281,13229508,,Cực kì hài lòng,,0,5,27.77777778,1694047529,0,0,0,0,20
247730281,29238297,,Cực kì hài lòng,,0,5,27.77777778,1692321695,0,0,0,0,20
250109584,1325761,,Cực kì hài lòng,"Đóng gói đẹp, Máy nguyên hộp, chưa xử dụng, đúng như Chủ shop quảng cáo, đã mua của shop lần 2 , giá rẻ hơn shop khác, tặng 5 sao.",1,5,0.50550551,1686357664,1,0,0,5,48
250109584,12131129,,Cực kì hài lòng,"Mua gửi cho con trai ở xa, nên không nhìn được thực tế như thế nào, chỉ nghe con trai khen quá trời !",1,5,0.05316007,1687324946,1,0,0,5,48
250109584,15460159,,Rất không hài lòng,"Mẫu mã đẹp nhung sai không ngon, chi nghe gọi thi ok",0,1,38.88888889,1693966916,1,0,0,5,48
250109584,29424918,,Cực kì hài lòng,chưa mở mà đúng sp rồi nên cho 5*,0,5,38.88888889,1694774249,1,0,0,5,48
250109584,19628626,,Cực kì hài lòng,Rất đúng hàng.. chính hãng..!!,2,5,0.05371029,1681725208,1,0,0,5,48
250109584,18737918,,Cực kì hài lòng,máy giao nhanh .đẹp tuyệt vời .nguyên seal .mua lần 2 rồi vẫn cứ gọi là ok .shop bán hàng rất là ok,0,5,27.77777778,1692704223,1,0,0,5,48
250109584,978459,,Cực kì hài lòng,"Ngoại hình đẹp, cầm nắm vừa tay, camera chụp ảnh rõ đẹp. Nói chung là tốt trong tầm giá.",0,5,27.77777778,1691752040,1,0,0,5,48
250109584,27322871,,Cực kì hài lòng,"Máy nguyên xi chưa bóc tem, máy xài mượt, màn hình sắc nét",0,5,27.77777778,1692672911,1,0,0,5,48
250109584,1552419,,Cực kì hài lòng,Khá ổn,0,5,3.5380117,1695557283,1,0,0,5,48
250109584,12753310,,Cực kì hài lòng,Tốt. Giá hợp lý,0,5,33.33333333,1691334750,1,0,0,5,48
247730209,28743387,,Cực kì hài lòng,"Camera tạm ổn bù lại máy rất mượt và trơn tru. Pin trâu xài rất lâu máy cũng không nóng gì mấy, thiết kế mặt lưng đơn giản mà sang chảnh nhìn bắt mắt,máy nhẹ cầm nắm rất chắc tay. Tất cả những tác vụ hằng ngày rất tốt sẽ dành cho người không đòi hỏi quá cao. Nói tóm lại nếu 10 điểm thì Samsung Galaxy A34 được 8 ,5 điểm. Đó là quan điểm và ý kiến riêng của mình♥",0,5,27.77777778,1695296134,0,1,0,0,14
247730209,17479853,,Cực kì hài lòng,"Mình đã nhận được điện thoại, hàng còn nguyên đai nguyên kiện, rất đẹp và kiểm tra là chính hãng. nhưng lúc mua mình định mua trả gop mà lúc thanh toán online thì mình lại bấm thanh toán toàn bộ, nay hàng về mới thấy giá chênh lệch 205k. đề nghị nhà bán kiểm tra giúp giao dịch và chuyển lại tiền cho mình số thừa so với giá bán với nhé ạ.",0,5,27.77777778,1694761850,0,1,0,0,14
247730209,198202,,Cực kì hài lòng,"Camera cũng tạm, đủ sáng thì ok, camera trước chụp vô như bệnh gan 😇
Điện thoại dùng mượt, màn đẹp, viền cân đội, máy to nhưng cầm thoải mái. Pin ổn",1,5,0.02810384,1681287856,0,1,0,0,14
247730209,8184126,,Cực kì hài lòng,"Mua lần nào cũng hài lòng , đặt hôm trước thì hôm sau đã giao , shiper nhiệt tình , giá rẻ hơn ngoài cửa hàng, nguyên seal . Sản phẩm xài mượt , ổn áp . Không biết kích hoạt bảo hành ntn mong tiki kích hoạt giúp .",3,5,0.02381428,1682158466,0,1,0,0,14
247730209,27730054,,Cực kì hài lòng,"Đúng nguyen seal, giao hàng nhanh lịch sự, rất hài lòng",0,5,33.33333333,1693921041,0,1,0,0,14
247730209,5375254,,Không hài lòng,"Ủa mà dòng này không có sẵn sạc kèm theo trong hộp đựng máy ạ ?
Giao hàng trễ nữa

2 sao",1,2,0.02333102,1683718653,0,1,0,0,14
247730209,21183610,,Cực kì hài lòng,,0,5,27.77777778,1694918650,0,1,0,0,14
247730209,29389050,,Cực kì hài lòng,,0,5,27.77777778,1693391213,0,1,0,0,14
247730209,28550994,,Cực kì hài lòng,,0,5,27.77777778,1693209887,0,1,0,0,14
247730209,73579,,Cực kì hài lòng,,0,5,27.77777778,1690934928,0,1,0,0,14
91612670,1782844,,Cực kì hài lòng,"Máy đẹp nhìn chắc chắn, phụ kiện đầy đủ có cả ốp và dán màn hình. Mua máy cho phụ huynh dùng nên thấy rất phù hợp.",0,5,44.44444444,1692535728,1,1,3,19,186
